Date,high,low,open,price,volume,adj close,sma10,ema20,ema30,rsi,macd,lag1,lag5,lag10,signal,positions
2016-05-05,217200,215230,216515,215880,200,215880,218820.8,216969.8323369313,215472.0628522816,49.761579241435015,1850.9676630687027,-635.0,-3240.0,-1580.0,1,0.0
2016-05-06,217245,215135,215390,217000,200,217000,218617.0,216972.70544769973,215570.639442457,53.08220407978158,1644.2945523002709,1120.0,-2000.0,-2038.0,1,0.0
2016-05-09,216580,212950,216580,214430,200,214430,218132.2,216730.54302410927,215497.04980100816,45.62927209448752,1401.6569758907426,-2570.0,-5823.0,-4848.0,1,0.0
2016-05-10,217280,214700,214700,216975,300,216975,217795.7,216753.82464086075,215592.40142674957,52.71012713714385,1041.8753591392597,2545.0,-379.0,-3365.0,1,0.0
2016-05-11,217205,214211,217100,214468,200,214468,217099.5,216536.12705601688,215519.85939921736,46.31183874284007,563.3729439831222,-2507.0,-2047.0,-6962.0,1,0.0
2016-05-12,215570,213435,214900,214860,200,214860,216673.5,216376.49590782478,215477.2878250743,47.38725628077241,297.00409217522247,392.0,-1020.0,-4260.0,1,0.0
2016-05-13,215200,211750,214550,212140,300,212140,215987.5,215973.02010707956,215261.97893313403,41.21775031027919,14.479892920440761,-2720.0,-4860.0,-6860.0,1,0.0
2016-05-16,213150,211905,211905,212530,300,212530,215215.2,215645.1134302148,215085.72222777057,42.37618412336534,-429.91343021480134,390.0,-1900.0,-7723.0,0,-1.0
2016-05-17,212780,209865,212780,210695,300,210695,214549.3,215173.67405590863,214802.44982597893,38.528791126748516,-624.3740559086436,-1835.0,-6280.0,-6659.0,0,0.0
2016-05-18,212700,209940,210155,212200,200,212200,214117.8,214890.46700296496,214634.54983720608,43.09231898831122,-772.6670029649686,1505.0,-2268.0,-4315.0,0,0.0
2016-05-19,212070,209600,211250,211180,300,211180,213647.8,214537.08919315875,214411.67565416056,40.8773868113055,-889.2891931587656,-1020.0,-3680.0,-4700.0,0,0.0
2016-05-20,213680,211810,211810,212833,300,212833,213231.1,214374.7949842865,214309.82561195665,45.74439978380654,-1143.6949842864997,1653.0,693.0,-4167.0,0,0.0
2016-05-23,213050,211650,213050,212210,200,212210,213009.1,214168.62403340207,214174.35299183044,44.265383386437215,-1159.5240334020637,-623.0,-320.0,-2220.0,0,0.0
2016-05-24,216090,213000,213080,215650,300,215650,212876.6,214309.70745879234,214269.5560246156,53.25298856870532,-1433.1074587923358,3440.0,4955.0,-1325.0,0,0.0
2016-05-25,217300,215565,215650,216185,300,216185,213048.3,214488.30674843118,214393.13305528555,54.482347902270874,-1440.0067484311876,535.0,3985.0,1717.0,0,0.0
2016-05-26,215970,214360,215750,214600,200,214600,213022.3,214498.94420096153,214406.47930978326,50.26489770846078,-1476.644200961542,-1585.0,3420.0,-260.0,0,0.0
2016-05-27,215380,214290,215380,214303,200,214303,213238.6,214480.282848489,214399.80322528112,49.491791452254525,-1241.6828484889993,-297.0,1470.0,2163.0,0,0.0
2016-05-31,216070,211695,215900,211695,200,211695,213155.1,214215.0178152996,214225.29979139203,43.20733544551978,-1059.9178152995883,-2608.0,-515.0,-835.0,0,0.0
2016-06-01,213090,210703,211100,212360,200,212360,213321.6,214038.3494519377,214104.95786936674,45.12088773961401,-716.7494519377069,665.0,-3290.0,1665.0,0,0.0
2016-06-02,213060,211570,212148,212355,200,212355,213337.1,213878.03045651506,213992.05736166568,45.108581076879865,-540.9304565150524,-5.0,-3830.0,155.0,0,0.0
2016-06-03,212240,210210,211700,211615,200,211615,213380.6,213662.50374637078,213838.6988222034,43.229318559848124,-281.9037463707791,-740.0,-2985.0,435.0,0,0.0
2016-06-06,213710,212205,212205,212880,300,212880,213385.3,213587.97958004975,213776.84728528708,47.27324129387038,-202.6795800497639,1265.0,-1423.0,47.0,0,0.0
2016-06-07,213662,212180,213200,212210,200,212210,213385.3,213456.74342956883,213675.76036365566,45.4275175170302,-71.44342956884066,-670.0,515.0,0.0,0,0.0
2016-06-08,214000,212620,212620,213500,100,213500,213170.3,213460.86310294323,213664.4209853553,49.51462887105953,-290.56310294324066,1290.0,1140.0,-2150.0,0,0.0
2016-06-09,213650,211810,213287,213210,100,213210,212872.8,213436.9713788534,213635.10350242915,48.63283850536099,-564.1713788534107,-290.0,855.0,-2975.0,0,0.0
2016-06-10,213460,211800,211800,212622,100,212622,212675.0,213359.35505705784,213569.74198614343,46.812477760742375,-684.3550570578373,-588.0,1007.0,-1978.0,0,0.0
2016-06-13,213925,211450,212300,211450,200,211450,212389.7,213177.51171829042,213432.9844386503,43.331015591771354,-787.8117182904098,-1172.0,-1430.0,-2853.0,0,0.0
2016-06-14,212250,210880,211240,212070,500,212070,212427.2,213072.0344117866,213345.0499587374,45.63443345729833,-644.8344117865781,620.0,-140.0,375.0,0,0.0
2016-06-15,213210,210050,212405,210050,300,210050,212196.2,212784.22161066404,213132.4660904318,39.938517131967835,-588.0216106640291,-2020.0,-3450.0,-2310.0,0,0.0
2016-06-16,213000,208610,210100,213000,300,213000,212260.7,212804.77193345796,213123.9198910491,49.794075533724936,-544.071933457948,2950.0,-210.0,645.0,0,0.0
2016-06-17,212350,210651,212350,211200,300,211200,212219.2,212651.93651122387,212999.79602711045,44.94759153228803,-432.7365112238622,-1800.0,-1422.0,-415.0,0,0.0
2016-06-20,214396,212500,213200,212630,200,212630,212194.2,212649.84731967872,212975.93821890978,49.179499939159605,-455.64731967871194,1430.0,1180.0,-250.0,0,0.0
2016-06-21,215420,212830,213140,215420,300,215420,212515.2,212913.67138447124,213133.61962414143,56.24636676496719,-398.47138447122416,2790.0,3350.0,3210.0,0,0.0
2016-06-22,216940,215420,215420,216266,200,216266,212791.8,213232.94077642635,213335.70868064844,58.14686223678731,-441.14077642635675,846.0,6216.0,2766.0,0,0.0
2016-06-23,218850,216983,217021,218850,400,218850,213355.8,213767.89879771907,213691.4694109292,63.37911148223509,-412.09879771908163,2584.0,5850.0,5640.0,0,0.0
2016-06-24,212730,209500,210505,209852,900,209852,213078.8,213394.95605507915,213443.76170699828,43.149918936655695,-316.1560550791619,-8998.0,-1348.0,-2770.0,0,0.0
2016-06-27,208860,205074,208860,208000,400,208000,212733.8,212881.15071650018,213092.5512742887,40.29886831265804,-147.3507165001938,-1852.0,-4630.0,-3450.0,0,0.0
2016-06-28,210500,207650,209505,210400,300,210400,212566.8,212644.85064826207,212918.83828885073,45.33916550990851,-78.050648262084,2400.0,-5020.0,-1670.0,0,0.0
2016-06-29,213080,210000,212100,212645,400,212645,212826.3,212644.8648722371,212901.1713024733,49.623572636214796,181.4351277628739,2245.0,-3621.0,2595.0,1,1.0
2016-06-30,217030,213220,213400,216975,600,216975,213223.8,213057.2586939288,213163.99896037823,56.67684683950355,166.54130607118714,4330.0,-1875.0,3975.0,1,0.0
2016-07-01,217210,215600,216421,216298,200,216298,213733.6,213365.90072307843,213366.19257583772,55.371472909477944,367.69927692157216,-677.0,6446.0,5098.0,1,0.0
2016-07-05,215270,212650,214710,212960,200,212960,213766.6,213327.24351135668,213339.98660320303,49.33768092991145,439.3564886433305,-3338.0,4960.0,330.0,1,0.0
2016-07-06,213950,211500,212010,213620,200,213620,213586.6,213355.12508170365,213358.05198364155,50.486547917547114,231.47491829635692,660.0,3220.0,-1800.0,1,0.0
2016-07-07,214450,211900,214036,212501,300,212501,213210.1,213273.7798358271,213302.7583072776,48.47925187609833,-63.679835827089846,-1119.0,-144.0,-3765.0,0,-1.0
2016-07-08,215550,214035,214590,214720,200,214720,212797.1,213411.51508955786,213394.1932551952,52.51140461713609,-614.4150895578496,2219.0,-2255.0,-4130.0,0,0.0
2016-07-11,216405,215200,216405,215824,200,215824,213394.3,213641.275557219,213550.9549806665,54.42258195814402,-246.97555721900426,1104.0,-474.0,5972.0,0,0.0
2016-07-12,217500,216070,216140,217050,200,217050,214299.3,213965.915980341,213776.6998206235,56.515500012260496,333.3840196589881,1226.0,4090.0,9050.0,1,1.0
2016-07-13,218950,216690,216975,218950,300,218950,215154.3,214440.59064887994,214110.46112251878,59.61088489943385,713.709351120051,1900.0,5330.0,8550.0,1,0.0
2016-07-14,219940,218280,219250,218591,300,218591,215748.9,214835.867729939,214399.52814687244,58.759774632087215,913.0322700609977,-359.0,6090.0,5946.0,1,0.0
2016-07-15,219400,217660,219280,218990,100,218990,215950.4,215231.4993747067,214695.68762126777,59.452698228223134,718.9006252932886,399.0,4270.0,2015.0,1,0.0
2016-07-18,220000,219000,219000,219900,400,219900,216310.6,215676.1184818775,215031.44971021824,61.059701557014165,634.4815181225131,910.0,4076.0,3602.0,1,0.0
2016-07-19,220360,218900,219060,220265,500,220265,217041.1,216113.1548169368,215369.09811601063,61.71511941365596,927.945183063217,365.0,3215.0,7305.0,1,0.0
2016-07-20,220270,218590,220003,219187,200,219187,217597.8,216405.90197722852,215615.4143665906,58.579144373135975,1191.8980227714637,-1078.0,237.0,5567.0,1,0.0
2016-07-21,219044,216315,218900,216315,300,216315,217979.2,216397.24464606392,215660.54892358475,51.12549577122076,1581.9553539360932,-2872.0,-2276.0,3814.0,1,0.0
2016-07-22,217158,215920,216760,216805,200,216805,218187.7,216436.07848929593,215734.38447690188,52.242020039624784,1751.621510704077,490.0,-2185.0,2085.0,1,0.0
2016-07-25,217600,215430,217600,216005,100,216005,218205.8,216395.02339507727,215751.84354290823,50.22466900317412,1810.7766049227212,-800.0,-3895.0,181.0,1,0.0
2016-07-26,217190,215901,216640,216400,100,216400,218140.8,216395.49735745086,215793.66008852705,51.22614464861013,1745.3026425491262,395.0,-3865.0,-650.0,1,0.0
2016-07-27,217100,215670,216220,216300,100,216300,217875.8,216386.40237102698,215826.32717958983,50.94667818726269,1489.3976289730053,-100.0,-2887.0,-2650.0,1,0.0
2016-07-28,217011,215250,216000,216660,100,216660,217682.7,216412.45928807202,215880.1125228421,51.962701754922584,1270.240711927996,360.0,345.0,-1931.0,1,0.0
2016-07-29,216750,215710,215800,216000,100,216000,217383.7,216373.17745111277,215887.8471987878,49.921214738595616,1010.5225488872384,-660.0,-805.0,-2990.0,1,0.0
2016-08-01,216790,215430,216540,215960,100,215960,216989.7,216333.82721767348,215892.50221822085,49.79353306105723,655.8727823265363,-40.0,-45.0,-3940.0,1,0.0
2016-08-02,215630,214520,215350,214900,200,214900,216453.2,216197.2722445617,215828.46981704532,46.406257430536705,255.92775543831522,-1060.0,-1500.0,-5365.0,1,0.0
2016-08-03,215735,214620,215735,215300,200,215300,216064.5,216111.8177450796,215794.3749901392,47.84799887230612,-47.31774507960654,400.0,-1000.0,-3887.0,0,-1.0
2016-08-04,215620,214400,215610,214830,100,214830,215916.0,215989.73986459585,215732.15724883988,46.272848286006706,-73.73986459584557,-470.0,-1830.0,-1485.0,0,0.0
